time,phiDeg,thetaDeg,psiDeg,omegaX,omegaY,omegaZ,wheel1,wheel2,wheel3,wheel4,uX,uY,uZ
586,-0.632224698427595,-0.296929815159946,0.223374084593135,2.7448241726488e-05,1.32067183004879e-05,-1.01320290265039e-05,8.92054057950341e-05,2.55649542254025e-05,-6.24311077281228e-05,3.02180814001511e-05,-0.000106651823225805,-4.30113716561737e-05,4.49846902973515e-05
587,-0.630651212257848,-0.296180484407805,0.22280247968194,2.73750879070988e-05,1.31708435766125e-05,-1.01043872966196e-05,8.91138163332596e-05,2.5436736986317e-05,-6.23067698252744e-05,3.01629624639199e-05,-0.00010652841083136,-4.28513314844177e-05,4.48921753271736e-05
588,-0.629081924169824,-0.295433172451183,0.222232413379088,2.73022379611864e-05,1.31351083656789e-05,-1.00768565212256e-05,8.90231023806029e-05,2.53095990220256e-05,-6.21839582685492e-05,3.01080908863614e-05,-0.000106406016758629,-4.26925134000521e-05,4.48010438905227e-05
589,-0.627516816749487,-0.294687871521257,0.221663879606991,2.72296887984026e-05,1.30995115607282e-05,-1.00494357359786e-05,8.89332521319326e-05,2.5183530320004e-05,-6.20626562393856e-05,3.00534637812471e-05,-0.000106284627536116,-4.25349057241877e-05,4.47112808352019e-05
590,-0.625955872759504,-0.293944573910742,0.221096872340792,2.71574373671486e-05,1.30640520654215e-05,-1.00221239872131e-05,8.88442538646779e-05,2.50585208794656e-05,-6.19428470033831e-05,2.99990782682015e-05,-0.000106164229778265,-4.23784967930524e-05,4.46228710897964e-05
591,-0.624399075137026,-0.293203271973293,0.220531385607782,2.7085480654355e-05,1.30287287940217e-05,-9.99492033188364e-06,8.87560959406754e-05,2.49345607142135e-05,-6.18245139132815e-05,2.99449314736946e-05,-0.000106044810187878,-4.22232749614159e-05,4.45357996660791e-05
592,-0.622846406991476,-0.292463958122926,0.219967413486819,2.70138156852404e-05,1.29935406713792e-05,-9.96782383751088e-06,8.86687668077498e-05,2.4811639855772e-05,-6.17076404120692e-05,2.98910205319677e-05,-0.000105926355556325,-4.20692286043471e-05,4.4450051663494e-05
593,-0.621297851602357,-0.291726624833421,0.219404950107753,2.69424395230566e-05,1.29584866329152e-05,-9.94083358212635e-06,8.85822550011583e-05,2.46897483563872e-05,-6.15922100359676e-05,2.98373425858772e-05,-0.000105808852775018,-4.19163461302466e-05,4.43656122621083e-05
594,-0.619753392417073,-0.290991264637738,0.218843989650854,2.68713492688469e-05,1.29235656245979e-05,-9.91394865421303e-06,8.84965491451451e-05,2.45688762917929e-05,-6.14782064172097e-05,2.97838947877843e-05,-0.000105692288820039,-4.17646159666869e-05,4.42824667423156e-05
595,-0.618213013048756,-0.290257870127433,0.218284526346238,2.68005420611581e-05,1.28887766029202e-05,-9.88716815264475e-06,8.84116379539879e-05,2.44490137640582e-05,-6.13656132866563e-05,2.97306743002931e-05,-0.000105576650764451,-4.16140265745215e-05,4.4200600476193e-05
