method_id,method_name,object_id,object_type,time_s,x_m,y_m,z_m,heading_deg,pitch_deg,roll_deg,speed_mps,r_m,q_deg,qdot_deg_s,a_n_m_s2,n_g
pursuit,追踪法,target_pursuit,target,2.6845319367011,7317.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,2.6945319367011,7312.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,2.7045319367011,7307.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,2.7145319367011,7302.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,2.7245319367011,7297.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,2.7345319367011,7292.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,2.7445319367011,7287.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,2.7545319367011,7282.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,2.7645319367011,7277.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,2.7745319367011,7272.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,2.7845319367011,7267.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,2.7945319367011,7262.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,2.8045319367011,7257.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,2.8145319367011,7252.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,2.82453193670109,7247.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,2.83453193670109,7242.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,2.84453193670109,7237.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,2.85453193670109,7232.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,2.86453193670109,7227.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,2.87453193670109,7222.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,2.88453193670109,7217.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,2.89453193670109,7212.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,2.90453193670109,7207.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,2.91453193670109,7202.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,2.92453193670109,7197.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,2.93453193670109,7192.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,2.94453193670109,7187.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,2.95453193670109,7182.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,2.96453193670109,7177.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,2.97453193670109,7172.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,2.98453193670109,7167.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,2.99453193670109,7162.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,3.00453193670109,7157.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,3.01453193670109,7152.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,3.02453193670109,7147.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,3.03453193670109,7142.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,3.04453193670109,7137.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,3.05453193670109,7132.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,3.06453193670109,7127.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,3.07453193670109,7122.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,3.08453193670109,7117.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,3.09453193670109,7112.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,3.10453193670109,7107.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,3.11453193670109,7102.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,3.12453193670109,7097.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,3.13453193670109,7092.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
pursuit,追踪法,target_pursuit,target,3.14453193670109,7087.98806949384,0,5000,270,0,0,500,0,NaN,NaN,0,0
